name,album,popularity,artist,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Human Behaviour,Debut,41,Björk,art pop,1993,0.685,0.624,2,-15.31,1,0.0364,0.0382,0.0295,0.116,0.541,109.457,audio_features,0z1exf1SZhszjwPWPmXFub,spotify:track:0z1exf1SZhszjwPWPmXFub,https://api.spotify.com/v1/tracks/0z1exf1SZhszjwPWPmXFub,https://api.spotify.com/v1/audio-analysis/0z1exf1SZhszjwPWPmXFub,250933,4
Crying,Debut,39,Björk,experimental vocal,1993,0.651,0.662,4,-11.914,0,0.0307,0.00518,0.0149,0.523,0.709,116.204,audio_features,7teGZBxvYx1Jr4fHwB4Lwy,spotify:track:7teGZBxvYx1Jr4fHwB4Lwy,https://api.spotify.com/v1/tracks/7teGZBxvYx1Jr4fHwB4Lwy,https://api.spotify.com/v1/audio-analysis/7teGZBxvYx1Jr4fHwB4Lwy,292067,4
Venus As A Boy,Debut,41,Björk,metropopolis,1993,0.296,0.375,1,-12.468,1,0.0429,0.0319,0.00964,0.0577,0.789,69.082,audio_features,4kVL555WlWlEkZuUAsbdq3,spotify:track:4kVL555WlWlEkZuUAsbdq3,https://api.spotify.com/v1/tracks/4kVL555WlWlEkZuUAsbdq3,https://api.spotify.com/v1/audio-analysis/4kVL555WlWlEkZuUAsbdq3,282667,4
There's More To Life Than This - Live At The Milk Bar Toilets,Debut,38,Björk,icelandic singer-songwriter,1993,0.73,0.485,7,-13.702,1,0.0367,0.0624,0.039,0.955,0.744,124.245,audio_features,2nf4E0oGbsmkl5B89OGoII,spotify:track:2nf4E0oGbsmkl5B89OGoII,https://api.spotify.com/v1/tracks/2nf4E0oGbsmkl5B89OGoII,https://api.spotify.com/v1/audio-analysis/2nf4E0oGbsmkl5B89OGoII,201707,4
Like Someone In Love,Debut,37,Björk,art pop,1993,0.376,0.143,7,-15.76,1,0.0362,0.961,5.09e-05,0.143,0.0765,97.942,audio_features,2xzfeMsbHYOVwMQnltpDja,spotify:track:2xzfeMsbHYOVwMQnltpDja,https://api.spotify.com/v1/tracks/2xzfeMsbHYOVwMQnltpDja,https://api.spotify.com/v1/audio-analysis/2xzfeMsbHYOVwMQnltpDja,273533,4
Big Time Sensuality,Debut,40,Björk,trip hop,1993,0.728,0.72,1,-12.949,0,0.0996,7.28e-05,0.017,0.167,0.564,118.588,audio_features,7rxGuFcyZZPFWq7lTEOB0c,spotify:track:7rxGuFcyZZPFWq7lTEOB0c,https://api.spotify.com/v1/tracks/7rxGuFcyZZPFWq7lTEOB0c,https://api.spotify.com/v1/audio-analysis/7rxGuFcyZZPFWq7lTEOB0c,236667,4
One Day,Debut,36,Björk,experimental vocal,1993,0.615,0.496,0,-14.056,1,0.0351,0.00497,0.00197,0.0832,0.209,105.177,audio_features,6xY2G2qO4gQWg0iqVaiP7k,spotify:track:6xY2G2qO4gQWg0iqVaiP7k,https://api.spotify.com/v1/tracks/6xY2G2qO4gQWg0iqVaiP7k,https://api.spotify.com/v1/audio-analysis/6xY2G2qO4gQWg0iqVaiP7k,322000,4
Aeroplane,Debut,34,Björk,metropopolis,1993,0.629,0.275,7,-14.904,1,0.0315,0.0938,0.000853,0.143,0.13,104.656,audio_features,2uRc2g1WIDWYTM0KqhKfj6,spotify:track:2uRc2g1WIDWYTM0KqhKfj6,https://api.spotify.com/v1/tracks/2uRc2g1WIDWYTM0KqhKfj6,https://api.spotify.com/v1/audio-analysis/2uRc2g1WIDWYTM0KqhKfj6,236493,4
Come To Me,Debut,38,Björk,icelandic singer-songwriter,1993,0.481,0.58,5,-14.273,1,0.0338,0.00225,3.08e-05,0.11,0.314,173.452,audio_features,3p0PeVSSet08Gp5MpvMTBd,spotify:track:3p0PeVSSet08Gp5MpvMTBd,https://api.spotify.com/v1/tracks/3p0PeVSSet08Gp5MpvMTBd,https://api.spotify.com/v1/audio-analysis/3p0PeVSSet08Gp5MpvMTBd,295573,4
Violently Happy,Debut,36,Björk,icelandic experimental,1993,0.684,0.58,9,-15.098,0,0.0483,0.29,0.0073,0.117,0.251,120.329,audio_features,7HFbjG7R5WUCzqyZZItepN,spotify:track:7HFbjG7R5WUCzqyZZItepN,https://api.spotify.com/v1/tracks/7HFbjG7R5WUCzqyZZItepN,https://api.spotify.com/v1/audio-analysis/7HFbjG7R5WUCzqyZZItepN,299267,4
