nombre,nombre_corto,apellido,nac_fecha,edad,nac_lugar,prov,prov_grid,prov_corto,puesto,equipo,pais,pais_corto,pj,goles,goles_scaloni,mj,jugo_mundial,m_list,altura,carita
Emiliano Martínez,E. Martínez,Martínez,2/9/1992,30,Mar del Plata,Bs. As. (s/ GBA),Buenos Aires,BA,Arquero,Aston Villa,Inglaterra,ING,18,-7,0,0,0,,1.95,https://buckets3.glanacion.com/lntools/anexos/fotos/14/49014.png
Franco Armani,F. Armani,Armani,16/10/1986,36,Casilda,Santa Fe,Santa Fe,SF,Arquero,River Plate,Argentina,ARG,18,-18,0,1,1,Rusia 2018,1.89,https://buckets3.glanacion.com/lntools/anexos/fotos/08/48908.png
Agustín Marchesín,A. Marchesín,Marchesín,16/3/1988,34,San Cayetano,Bs. As. (s/ GBA),Buenos Aires,BA,Arquero,Celta,España,ESP,8,-9,0,0,0,,1.88,https://buckets3.glanacion.com/lntools/anexos/fotos/17/48917.png
Gerónimo Rulli,G. Rulli,Rulli,20/5/1992,30,La Plata,Bs. As. (s/ GBA),Buenos Aires,BA,Arquero,Villarreal,España,ESP,4,-1,0,0,0,,1.89,https://buckets3.glanacion.com/lntools/anexos/fotos/28/48928.png
Juan Musso,J. Musso,Musso,6/5/1994,28,San Nicolás,Bs. As. (s/ GBA),Buenos Aires,BA,Arquero,Atalanta,Italia,ITA,2,0,0,0,0,,1.91,https://buckets3.glanacion.com/lntools/anexos/fotos/20/48920.png
Agustín Rossi,A. Rossi,Rossi,21/8/1995,27,CABA,CABA,CABA,CABA,Arquero,Boca Juniors,Argentina,ARG,0,0,0,0,0,,1.93,https://buckets3.glanacion.com/lntools/anexos/fotos/87/49387.png
Germán Pezzella,G. Pezzella,Pezzella,27/6/1991,31,Bahía Blanca,Bs. As. (s/ GBA),Buenos Aires,BA,Defensor,Real Betis,España,ESP,29,2,2,0,0,,1.87,https://buckets3.glanacion.com/lntools/anexos/fotos/31/48931.png
Juan Foyth,J. Foyth,Foyth,12/1/1998,24,La Plata,Bs. As. (s/ GBA),Buenos Aires,BA,Defensor,Villarreal,España,ESP,15,0,0,0,0,,1.87,https://buckets3.glanacion.com/lntools/anexos/fotos/10/48910.png
Nahuel Molina ,N. Molina,Molina,6/4/1998,24,Embalse,Córdoba,Córdoba,COR,Defensor,A. Madrid,España,ESP,18,2,2,0,0,,1.75,https://buckets3.glanacion.com/lntools/anexos/fotos/18/48918.png
Gonzalo Montiel,G. Montiel,Montiel,1/1/1997,25,González Catán,GBA,Buenos Aires,GBA,Defensor,Sevilla,España,ESP,18,0,0,0,0,,1.76,https://buckets3.glanacion.com/lntools/anexos/fotos/19/48919.png
